x_from_throat_mm,inner_radius_mm
0.000,18.000
0.314,18.042
0.887,18.118
1.626,18.218
2.495,18.335
3.474,18.468
4.548,18.616
5.706,18.776
6.939,18.948
8.239,19.131
9.600,19.325
11.015,19.528
12.481,19.741
13.992,19.963
15.544,20.194
17.133,20.433
18.756,20.681
20.411,20.936
22.093,21.199
23.800,21.469
25.531,21.747
27.282,22.031
29.051,22.322
30.836,22.620
32.636,22.925
34.448,23.236
36.272,23.553
38.105,23.877
39.946,24.206
41.794,24.542
43.647,24.883
45.505,25.230
47.366,25.582
49.230,25.941
51.095,26.304
52.960,26.673
54.825,27.048
56.689,27.427
58.550,27.812
60.410,28.202
62.266,28.597
64.118,28.997
65.966,29.401
67.809,29.811
69.647,30.225
71.480,30.645
73.306,31.068
75.125,31.497
76.938,31.930
78.743,32.367
80.541,32.809
82.330,33.256
84.112,33.707
85.886,34.162
87.651,34.622
89.407,35.085
91.154,35.554
92.892,36.026
94.620,36.502
96.339,36.983
98.049,37.467
99.748,37.956
101.438,38.449
103.118,38.946
104.788,39.446
106.448,39.951
108.097,40.459
109.737,40.972
111.366,41.488
112.984,42.008
114.592,42.532
116.190,43.059
117.777,43.591
119.353,44.126
120.919,44.664
122.474,45.207
124.019,45.753
125.553,46.302
127.076,46.855
128.589,47.412
130.091,47.972
131.582,48.536
133.063,49.103
134.533,49.674
135.993,50.248
137.442,50.826
138.880,51.406
140.308,51.991
141.725,52.579
143.131,53.170
144.527,53.764
145.913,54.362
147.288,54.963
148.652,55.567
150.006,56.175
151.350,56.785
152.683,57.399
154.006,58.017
155.318,58.637
156.620,59.261
157.912,59.887
159.193,60.517
160.465,61.150
161.726,61.786
162.976,62.426
164.217,63.068
165.447,63.713
166.668,64.362
167.878,65.013
169.078,65.668
170.268,66.325
171.448,66.985
172.618,67.649
173.778,68.315
174.928,68.985
176.069,69.657
177.199,70.332
178.319,71.010
179.430,71.692
180.530,72.376
181.621,73.062
182.702,73.752
183.773,74.445
184.835,75.140
185.886,75.838
186.928,76.539
187.961,77.243
188.983,77.950
189.996,78.659
190.999,79.372
191.992,80.087
192.976,80.804
193.950,81.525
194.914,82.248
195.869,82.974
196.814,83.703
197.749,84.434
198.675,85.168
199.591,85.905
200.497,86.644
201.393,87.387
202.280,88.131
203.158,88.879
204.025,89.629
204.883,90.381
205.731,91.137
206.570,91.895
207.399,92.655
208.218,93.418
209.027,94.184
209.826,94.952
210.616,95.723
211.395,96.496
212.165,97.272
212.925,98.051
213.675,98.831
214.415,99.615
215.145,100.401
215.865,101.190
216.574,101.981
217.274,102.774
217.963,103.570
218.642,104.369
219.311,105.169
219.969,105.973
220.616,106.779
221.253,107.587
221.880,108.398
222.496,109.211
223.101,110.027
223.694,110.845
224.277,111.665
224.849,112.488
225.410,113.313
225.959,114.141
226.496,114.971
227.022,115.803
227.536,116.638
228.037,117.475
228.527,118.314
229.004,119.156
229.468,120.000
229.920,120.847
230.358,121.695
230.782,122.547
231.193,123.400
231.590,124.256
231.971,125.114
232.338,125.974
232.689,126.837
233.024,127.702
233.342,128.569
233.642,129.438
233.924,130.310
234.185,131.184
234.425,132.060
234.642,132.939
234.833,133.820
234.993,134.703
235.117,135.588
235.185,136.475
